Bank description; Nợ ; Có ; Nature 
So GD: 640A2571AKCDCTNB BB6_BIWASE_ Water fee in 07/2025.; -   ;4.318.020,00;Operating expense
TERMINATE SAVING CONTRACT 218000444977;13.000.000.000,00; -   ;Internal transfer in
Tra lai TK tien gui 217000444980;91.890.411,00; -   ;Other receipts
Tra lai TK tien gui 218000444977;45.945.205,00; -   ;Other receipts
So GD: 900A25715PBMX6JE DVC_ATELIER_Earth Works - CS contract - PR.08; -   ;106.920.000,00;Construction expense
Tra no TK vay 800006916148,so tien 173619642 VND; -   ;173.619.642,00;Loan repayment
Tra no TK vay 802004949851,so tien 4871583375 VND; -   ;4.871.583.375,00;Loan repayment
Tra no TK vay 802006015664,so tien 117506701 VND; -   ;117.506.701,00;Loan repayment
Tra no TK vay 802006053978,so tien 132835068 VND; -   ;132.835.068,00;Loan repayment
Tra no TK vay 802006178253,so tien 568400687 VND; -   ;568.400.687,00;Loan repayment
Tra no TK vay 802006267846,so tien 2022304792 VND; -   ;2.022.304.792,00;Loan repayment
Tra no TK vay 807006207547,so tien 239841096 VND; -   ;239.841.096,00;Loan repayment
Tra no TK vay 804006015195,so tien 470026803 VND; -   ;470.026.803,00;Loan repayment
Tra no TK vay 804006913037,so tien 694478567 VND; -   ;694.478.567,00;Loan repayment
Tra no TK vay 804004949847,so tien 18363805464 VND; -   ;18.363.805.464,00;Loan repayment
Tra no TK vay 805006102547,so tien 693694247 VND; -   ;693.694.247,00;Loan repayment
So GD: 285A2570ZE59MQFL HD2_EES_Payment WWTP Operation fee in Jun 25 Inv 00000159; -   ;44.037.000,00;Operating expense
Tra no TK vay 806006206442,so tien 959364383 VND; -   ;959.364.383,00;Loan repayment
Tra no TK vay 806006730393,so tien 1123950175 VND; -   ;1.123.950.175,00;Loan repayment
Tra no TK vay 808005974926,so tien 129145205 VND; -   ;129.145.205,00;Loan repayment
Tra no TK vay 808006053357,so tien 531340274 VND; -   ;531.340.274,00;Loan repayment
Tra no TK vay 808006733889,so tien 280987544 VND; -   ;280.987.544,00;Loan repayment
Tra no TK vay 809006102197,so tien 287809315 VND; -   ;287.809.315,00;Loan repayment
Tra no TK vay 809006170420,so tien 1831369004 VND; -   ;1.831.369.004,00;Loan repayment
So GD goc: 10000006 Payment184546;693.036.960,00; -   ;Receipt from tenants
TERMINATE SAVING CONTRACT 217000444980;26.000.000.000,00; -   ;Internal transfer in
Tra lai tai khoan DDA;6.291.563,00; -   ;Other receipts
HD2_Phuong Dong_Payment 90% contract value Defect Rectification & Renovation Inv 00000018; -   ;565.031.376,00;Operating expense
CT DEN:640T2570RD89L3AP .;382.090.500,00; -   ;Receipt from tenants
So GD goc: 10002804 //SAL2025196S107005644009//CONG TY TNHH DO NOI THAT JY Thanh toan tien thue nha xuong A 18A20 A tu ngay 01 07 2025 den 30 09 2025 theo hoa don: 00000233 07 07 2025;860.302.080,00; -   ;Receipt from tenants
VAT; -   ;3.000,00;Operating expense
So GD goc: 652A2570SFJTZ0B4 Berjayapak Payment fee Factory rental fr 01072025 to 30092025 fllw debit note No: INVBWD001116 date 05072025, VAT No: 00000229 date 07072025to BW L3;287.028.116,00; -   ;Receipt from tenants
CT DEN:640T2570WCKT1L7X JY THANH TOAN TIEN NUOC XUONG A-18-6-CN-A THANG 07/2025 CHO CONG TY BW;710.010,00; -   ;Receipt from tenants
So GD goc: 10000875 PAYMENT 3 MONTH RENT FACTORY 18A21(01ST JULY 2025 -30TH SEP 2025)/;1.646.172.000,00; -   ;Receipt from tenants
So GD goc: 10000884 PAYMENT 3MONTH RENT WH A-17A16A W/H RENTAL (01ST JULY 2025 -30TH SEP 2025);373.300.488,00; -   ;Receipt from tenants
THANH TOAN HOA DON 244;612.732.384,00; -   ;Receipt from tenants
So GD: 285A2571DWPQZH2N HD2_Dang Khoa_Payment for Providing new batteries for Hai Duong Projects; -   ;58.640.000,00;Operating expense
BBN_Phuong Dong_Payment 90% contract value Defect Rectification & Renovation_INVOICE 00000017; -   ;464.766.660,00;Operating expense
So GD goc: 10002916 KYUNGBANG TT PHI THUE KHO T7-08/2025/VIETINBANK - CN BINH DUONG;263.998.931,00; -   ;Receipt from tenants
So GD goc: 10004757 TT KHO THUE NGOAI T6 HD 189,190/NH TMCP CONG THUONG VIET NAM - CN B;436.933.820,00; -   ;Receipt from tenants
2520102TSA-0113201/640N2570UGUHECV0/NOP NSNN/So TK:11458874012025TBTDT; -   ;53.431.396,00;Operating expense
CT DEN:640T2570U6ZHE1H5 CONG TY TNHH XINRONGHUI VIET NAM TT CP thue nha xuong T1& 1 phan T22025(inv:1C25TBA-46&1C25TBA-65 )-ma KH C00000860;247.840.800,00; -   ;Receipt from tenants
TTHD Tien nuoc Ma KH-8801010064 Ma HD-Ky 7/2025$88; -   ;710.010,00;Operating expense
TTHD Tien nuoc Ma KH-8801010028 Ma HD-Ky 7/2025$88; -   ;246.330,00;Operating expense
CT DEN:640T2570ZXFRKLXZ CONG TY TNHH NHUA ASUS VIET NAM chuyen tien hoa don264 ngay 7.7.2025 lan 1;275.784.296,00; -   ;Receipt from tenants
TTHD Tien nuoc Ma KH-8801010128 Ma HD-Ky 7/2025$88; -   ;246.330,00;Operating expense
Tra lai TK tien gui 212000454565;70.684.932,00; -   ;Other receipts
So GD goc: 10000995 IBBIZ6041788566.IBPS.LIXI THANH TOAN HOA DON 178;459.506.284,00; -   ;Receipt from tenants
So GD goc: 10007475 IBBIZ6041875217.IBPS.CONG TY TNHH FLOWCOM VIET NAM chuyen tien thue nha xuong quy 3.25;1.013.506.560,00; -   ;Receipt from tenants
Cong ty TNHH TH Global Enterprise thanh toan tien thue nha xuong quy 2 cho CTY CP PT CN BW theo hoa don so : 00000130 hat hanh vao ngay 08/04/2025;601.796.835,00; -   ;Receipt from tenants
CT DEN:640T25712EEJWUXQ BUI THI MAI HAI DONG TIEN DIEN T6.2025 (CONG TY DINH HONG HAM THUY)   TK:  tai Ngan hang TMCP Cong Thuong Viet Nam VietinBank;1.279.686,00; -   ;Receipt from tenants
So GD goc: 10002230 TT tien thue xuong T7.2025 hoa don so 270;685.417.824,00; -   ;Receipt from tenants
So GD goc: 10007855 CTY DIBAO TT TIEN THUE NHA XUONG T6 2025 FACTORY RENTAL FEE IN JUN,2025;714.954.240,00; -   ;Receipt from tenants
CONG TY C VA C MST 3703209378 TT TIEN THUE NHA XUONG T7 T8 T9  HD 254  CHO CTY BECAMEX;2.072.580.048,00; -   ;Receipt from tenants
So GD: 285A25712BJ2MVAW BBN_ASIAN VISION_Payment of office tree service in Hanoi office from 4 April to 3 July 2025_INVOICE 1687; -   ;9.347.400,00;Operating expense
So GD: 640A25715PBE7L7B BWD_TAILE_Electricity consumption in May.25_PB04090037187; -   ;519.015,00;Operating expense
TTHD Tien nuoc Ma KH-8801010125 Ma HD-Ky 7/2025$88; -   ;43.470,00;Operating expense
So GD goc: 10006861 IBBIZ6042145233.IBPS.CTY TNHH THIET BI Y TE KOOLCARE TT TIEN THUE NHA XUONG THANG 7.8 VA THANG 9 THEO HD SO 281 NGAY 24.7.2025 CHO CTY 3702637282;952.232.220,00; -   ;Receipt from tenants
So GD goc: 652A257161389QPL CONG TY TNHH TECHX SEMICONDUCTOR (VIET NAM) TT TIEN THUE NHA XUONG A18A22 B QUY 3 NAM 2025 TU 01/07/2025 DEN 30/09/2025 HOA DON SO 00000257;226.798.704,00; -   ;Receipt from tenants
BWD_LIEN LUU_Claimback notarized fee for docs of tenant HUANG WENLIANG; -   ;2.400.000,00;Operating expense
Tra lai TK tien gui 213000418604;88.356.164,00; -   ;Other receipts
TTHD Tien nuoc Ma KH-8801010030 Ma HD-Ky 7/2025$88; -   ;43.470,00;Operating expense
Phi duy tri TKTT theo yeu cau tai khoan 112604409888 thang 07-2025; -   ;30.000,00;Operating expense
TTHD Tien nuoc Ma KH-8801010039 Ma HD-Ky 7/2025$88; -   ;405.720,00;Operating expense
Phi duy tri TKTT theo yeu cau tai khoan 113632066789 thang 07-2025; -   ;30.000,00;Operating expense
So GD: 285A25712BJ7TGYH BBN_EES_Payment of Operation of WWTP system in JUN 2025_INVOICE 00000154; -   ;17.322.120,00;Operating expense
TTHD Tien nuoc Ma KH-8404630082 Ma HD-Ky 7/2025$84; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8801010101 Ma HD-Ky 7/2025$88; -   ;289.800,00;Operating expense
TTHD Tien nuoc Ma KH-8404630083 Ma HD-Ky 7/2025$84; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8404630084 Ma HD-Ky 7/2025$84; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8801010127 Ma HD-Ky 7/2025$88; -   ;724.500,00;Operating expense
TTHD Tien nuoc Ma KH-8405120005 Ma HD-Ky 7/2025$88; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8801010129 Ma HD-Ky 7/2025$88; -   ;854.910,00;Operating expense
TTHD Tien nuoc Ma KH-8801010085 Ma HD-Ky 7/2025$88; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8801010099 Ma HD-Ky 7/2025$88; -   ;28.980,00;Operating expense
TTHD Tien nuoc Ma KH-8801010104 Ma HD-Ky 7/2025$88; -   ;28.980,00;Operating expense
CTY IMGD TT HOA DON SO 262. PHI THUE NHA XUONG QUY 3 TU 1/7-30/9/2025;573.833.436,00; -   ;Receipt from tenants
So GD goc: 10003783 Chuyen khoanSUNAGRO THANH TOAN THUE XUONG QUY 3-2025;903.327.129,00; -   ;Receipt from tenants
So GD goc: 10004972 TT VNMN2G3R3 N TT HD: 263 THUE KHO BW A17,A18;639.236.839,00; -   ;Receipt from tenants
CT DEN:756093331924 CTY BA DUONG TT PHI THUE XUONG A182CNC Q3 2025 HD277 CHO CTY BW;450.000.000,00; -   ;Receipt from tenants
CT DEN:757114331999 CTY BA DUONG TT PHI THUE XUONG A182CNC Q3 2025 HD277 CHO CTY BW;52.070.031,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;20.600.156,00; -   ;Other receipts
So GD goc: 10007141 TT VNMN2G9ON N TT HD:282 NGAY 24.07.2025.TIEN NUOC;1.179.486,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;19.681,00; -   ;Other receipts
Tra lai tai khoan DDA;1.286,00; -   ;Other receipts
So GD: 285A2570QU4JVNLS TPT_SCD_ Water consumption GHTK in 06.25; -   ;26.692.057,00;Operating expense
TTHD Tien nuoc Ma KH-8801010130 Ma HD-Ky 7/2025$88; -   ;28.980,00;Operating expense
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
TTHD Tien dien Ma KH-PE09000208673 Ma HD-Ky 250820TD-T07.2025/0; -   ;304.016.064,00;Operating expense
So GD: 285A25712BTK45Y8 TPT GHTK_IMPC_Facilities Management in Jun.25; -   ;25.221.821,00;Operating expense
So GD: 285A25712BTW85GV TPT_SCD_ EMF fee from Jul 2025 to Dec 2025_Lot GHTK.; -   ;452.185.938,00;Operating expense
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
So GD goc: 3185835462Y25 VIETINBANK HOHN INV 1C25TBA 0000008 5;6.392.488.356,00; -   ;Receipt from tenants
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
Tra lai tai khoan DDA;1.629.158,00; -   ;Other receipts
Tra lai tai khoan DDA;44.434,00; -   ;Other receipts
Tra lai tai khoan DDA;7.036,00; -   ;Other receipts
So GD: 285A25712BJE3Z6T BBN_EES_Payment of Analyzing WWT sample fee in Quarter 2 Year 2025_INVOICE 00000154; -   ;5.832.000,00;Operating expense
Tra lai tai khoan DDA;804.712,00; -   ;Other receipts
Thu phi duy tri dich vu IB 07/2025; -   ;25.000,00;Operating expense
TTHD Tien nuoc Ma KH-8404630062 Ma HD-Ky 7/2025$84; -   ;14.490,00;Operating expense
Tra lai tai khoan DDA;2.952,00; -   ;Other receipts
So GD goc: 10000311 ETRON TT HD 180;29.767.629,00; -   ;Receipt from tenants
So GD goc: 10000066 CONG TY TNHH THE GAUSS VINA;278.911.955,00; -   ;Receipt from tenants
TTHD Tien nuoc Ma KH-8801010024 Ma HD-Ky 7/2025$88; -   ;14.490,00;Operating expense
CT DEN:285T2570UAFPYCVM Four ES thanh toan chi phi thue xuong theo hoa son so 762 lan 2;360.399.938,00; -   ;Receipt from tenants
So GD: 285A2571C745BESZ BBN_Dang Thi Kim Thu_ Payment pantry and admin expenses for Hanoi and Bacninh Office in July 2025; -   ;9.727.993,00;Operating expense
So GD goc: 10003511 CONG TY MAEDEN TT CTY BW THEO HD 00000173 THANG 06 NAM 2025;3.570.436,00; -   ;Receipt from tenants
So GD: 285A25712GAP2VNU XA2_Administrative expense for Operation; -   ;35.000.000,00;Operating expense
Tra lai TK tien gui 211000407222;364.975.342,00; -   ;Other receipts
VAT; -   ;3.000,00;Operating expense
VAT; -   ;3.000,00;Operating expense
Tra no TK vay 800004989755,so tien 11431736826 VND; -   ;11.431.736.826,00;Loan repayment
Tra no TK vay 807004635679,so tien 4293357870 VND; -   ;4.293.357.870,00;Loan repayment
So GD goc: 10006035 Morteng TT phi thue xuong hd200;818.967.069,00; -   ;Receipt from tenants
So GD goc: 10001363 Shiu Li thanh toan BW HD so 00000149;840.362.038,00; -   ;Receipt from tenants
VAT; -   ;2.500,00;Operating expense
So GD goc: 10003310 Thanh toan tien phi thue nha xuong Q3.2025;933.665.129,00; -   ;Receipt from tenants
So GD goc: 10003166 Thanh toan tien HD 172;4.615.416,00; -   ;Receipt from tenants
So GD goc: 10000523 Thanh toan tien nuoc sach va phi xu ly nuoc thai T06-2025 HD166;3.075.565,00; -   ;Receipt from tenants
So GD: 285A2571DWPPK8LC HD2_IMPC_Payment for FM Service fee in Jun 25 Inv 00000339; -   ;112.674.780,00;Operating expense
VC3_CASH TRANSFER TO MP3 UNDER CONTRACT NO. 01/2025/BCC-MP3; -   ;551.054.000.000,00;Internal transfer out
So GD goc: 10001086 ETRON PAY FOR INV 193;3.018.561.795,00; -   ;Receipt from tenants
Payment for rental fee of factory B1, B2 at Vsip from 01.07.25 - 30.09.25 Q3 HD 00000046;891.946.988,00; -   ;Receipt from tenants
Tra lai TK tien gui 217000439330;8.835.616,00; -   ;Other receipts
So GD goc: 10001527 ITL mien Bac thanh toan tien thue xuong thang 7 den thang 9 ChargeDetails OUR;761.016.897,00; -   ;Receipt from tenants
VC3_CASH TRANSFER TO MP3 UNDER CONTRACT NO. 02/2025/BCC-MP3; -   ;125.640.681.600,00;Internal transfer out
BWD CASH ADVANCE TO BAU BANG 01 ACCORDING TO BAU BANG 01 SERVICE AGREEMENT; -   ;30.000.000.000,00;Internal transfer out
VC3_Cash transfer to BB6/VC3_Chuyen tien cho BB6; -   ;25.000.000.000,00;Internal transfer out
INTERCO LOAN FROM XA1 TO SPV5D; -   ;25.000.000.000,00;Internal transfer out
So GD goc: 10001599 Rental price for the third quarter of 2025 ChargeDetails OUR;823.710.648,00; -   ;Receipt from tenants
So GD goc: 432A257164FCL3YF ORIENT DRAGON tt so hd 37;588.023.969,00; -   ;Receipt from tenants
Cimiya TT phi thue nha xuong theo HD so 00000039;573.135.193,00; -   ;Receipt from tenants
"CT DEN:285T2571B2F9BTQC CONG TY TNHH SINNOTECH VIET NAM chuyen tien CT TNHH MTV PHAT TRIEN CONG NGHIEP BW BAC NINH TK: 118008108888 tai Ngan hang VietinBank; Sinno -  BW -  Thanh toan tien thue xuong 7-9.25 HD 36-8/7/25";1.414.897.005,00; -   ;Receipt from tenants
VAT; -   ;2.500,00;Operating expense
BBN_Son Loc_Payment of Hanoi office Drinking water in July 2025_INVOICE 00001277; -   ;2.977.000,00;Operating expense
INTERCO LOAN REPAYMENT FROM XA1 TO SPV5E; -   ;19.500.000.000,00;Internal transfer out
VAT; -   ;2.500,00;Operating expense
So GD goc: 10008043 IBBIZ6042346961.IBPS.CONG TY TNHH EULER TECHNOLOGY VIET NAM chuyen tien thue xuong tu 01/07/2025-30/09/2025 - HD 43;701.409.090,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;32.345,00; -   ;Other receipts
VAT; -   ;2.500,00;Operating expense
So GD: 285A25712GALDZH5 XA2_HOAI LE_Meeting expense - INV.00000125; -   ;3.140.640,00;Operating expense
SHTQ REFUND PARTIAL DEPOSIT FOR AGREEMENT DATED 12 MAR 2025; -   ;18.100.000.000,00;Internal transfer out
VAT; -   ;2.500,00;Operating expense
So GD goc: 10001904 127/QD-TNI-KDT_23/07/2025_136/LH-TNI-KDT;31.935.685.403,00; -   ;Receipt from tenants
VAT; -   ;2.500,00;Operating expense
Tra lai TK tien gui 214000444983;24.739.726,00; -   ;Other receipts
Tra no TK vay 801007217080,so tien 43507945 VND; -   ;43.507.945,00;Loan repayment
Tra no TK vay 800004949853,so tien 4257578422 VND; -   ;4.257.578.422,00;Loan repayment
Tra no TK vay 800006733918,so tien 608060724 VND; -   ;608.060.724,00;Loan repayment
Tra no TK vay 802006913015,so tien 191872877 VND; -   ;191.872.877,00;Loan repayment
Tra no TK vay 807006102220,so tien 81176987 VND; -   ;81.176.987,00;Loan repayment
Tra no TK vay 807006102499,so tien 324707945 VND; -   ;324.707.945,00;Loan repayment
Tra no TK vay 803007215954,so tien 174031780 VND; -   ;174.031.780,00;Loan repayment
Tra no TK vay 804006916195,so tien 47968219 VND; -   ;47.968.219,00;Loan repayment
Tra no TK vay 804004949874,so tien 1119742551 VND; -   ;1.119.742.551,00;Loan repayment
Tra no TK vay 805006015686,so tien 34455426 VND; -   ;34.455.426,00;Loan repayment
Tra no TK vay 806006200902,so tien 826529315 VND; -   ;826.529.315,00;Loan repayment
Tra no TK vay 808006201624,so tien 151284383 VND; -   ;151.284.383,00;Loan repayment
Tra no TK vay 809006015219,so tien 137821703 VND; -   ;137.821.703,00;Loan repayment
Tra no TK vay 809006730405,so tien 2432242899 VND; -   ;2.432.242.899,00;Loan repayment
VC3_CASH TRANSFER TO BTD; -   ;15.500.000.000,00;Internal transfer out
GUI TIEN THEO HDTG CO KY HAN SO 285.2025.24694 NGAY 30.07.2025; -   ;22.000.000.000,00;Internal transfer out
Tra lai tai khoan DDA;4.526.539,00; -   ;Other receipts
Tra lai tai khoan DDA;62.326,00; -   ;Other receipts
Tra lai tai khoan DDA;155.356,00; -   ;Other receipts
Tra lai tai khoan DDA;529.404,00; -   ;Other receipts
So GD: 285A25715PBLLKP5 WL2B_VEV_Design Consultancy Service in Jul 25; -   ;273.481.732,00;Construction expense
Tra lai TK tien gui 216000403409;3.534.247,00; -   ;Other receipts
WL2B- FULL WITHDRAWAL FROM SAVINGS ACCOUNT NO 216000403409;1.000.000.000,00; -   ;Internal transfer in
WL2B- FULL WITHDRAWAL FROM SAVINGS ACCOUNT NO 216000403409;10.958,00; -   ;Other receipts
Tra lai tai khoan DDA;208.580,00; -   ;Other receipts
Tra lai so du tren tai khoan thang 07/2025;116; -   ;Other receipts
Tra lai so du tren tai khoan thang 07/2025;42.005,00; -   ;Other receipts
Tra lai so du tren tai khoan - thang 07/2025;6.585,00; -   ;Other receipts
CRIN;153.306,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
INTEREST PAYMENT;1.370,00; -   ;Other receipts
INTEREST PAYMENT;327; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
CK SANG TK TIMEMO TK KY HAN 1 THANG THEO HDONG 204.2025/HDTG-HCM.KHDN3 NGAY 31.07.2025, LSUAT 4,3%/NAM, DAO HAN GOC QUAY VONG, LAI TRA RA TK THANH TOAN SO 0071001286959 (RGLH); -   ;24.000.000.000,00;Internal transfer out
THU NO TK 001031401884; -   ;5.347.946.442,00;Loan repayment
INTEREST PAYMENT;1.296.884,00; -   ;Other receipts
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
SHGD:10000523.DD:250725.BO:CONG TY TNHH CONG NGHE MTC (VIET NAM).Remark:(801000095825);27.397.192.356,00; -   ;Receipt from tenants
VCBCSH. C746240725110335.BNT-IDICO-Electricity fee in Jul 2025-Term 2-Inv no.00019452 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6710000418 CONG TY CO PHAN DAU TU PHAT TRIEN NHA VA DO THI; -   ;293.597.464,00;Operating expense
VCBCSH. C738240725110559.BNT-ADP-Repair domestic water for restroom C1-3-Inv no.39 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 0281000249823 CT TNHH C.NGHE MOI TRUONG AN DUONG PHAT; -   ;16.200.000,00;Operating expense
VCBCSH. C718240725110242.BNT-AN TIN-Elevator maintenance fee from May 25 to June 25-Inv no.00000054 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 108000124452 CONG TY TNHH THANG MAY AN TIN N; -   ;61.236.000,00;Operating expense
SHGD:10002504.DD:250722.BO:CONG TY TNHH MODALE.Remark:MODALE TT PHI THUE KHO C3-3 T06, T07.2025 THEO HD 82, 87 CHO CT TNHH MTV PT CONG NGHIEP BW NHON TRACH;632.016.000,00; -   ;Receipt from tenants
0200970407072210264820251001501656.60312.102648.MODALE TT TIEN DIEN T03.2025, HD 42 CHO CT TNHH MTV PT CONG NGHIEP BW NHON TRACH;397.330,00; -   ;Receipt from tenants
VCBCSH. C736170725095844.BNT-IMPC-OT fee in 01/25,02/25,04/25 and 06/25-Inv no00000315 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6516278989 CT CP THIET KE VA QUAN LY KY THUAT IMP NH Dau; -   ;10.755.250,00;Operating expense
VCBCSH. C723170725095921.BNT-IMPC-FM fee in 06/2025-Inv no.00000292 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6516278989 CT CP THIET KE VA QUAN LY KY THUAT IMP NH Dau tu va Phat trien VN; -   ;198.416.413,00;Operating expense
CT TNHH MTV PT CONG NGHIEP BW NHON TRACH DONG TK KY HAN SO 1057195607 CHUYEN SO DU SANG TK THANH TOAN SO 0071001286959 THEO DN CUA CTY;10.000.000.000,00; -   ;Internal transfer in
CT TNHH MTV PT CONG NGHIEP BW NHON TRACH DONG TK KY HAN SO 1057195607 CHUYEN SO DU SANG TK THANH TOAN SO 0071001286959 THEO DN CUA CTY;54.794,00; -   ;Other receipts
IBBIZ6041638417. JIAWEI (VIET NAM) T/T PHI THUE NHA XUONG B3-3.B3-1.B3-2F2 QUY 3.2025 HD 00000086 CHO BW;5.705.845.107,00; -   ;Receipt from tenants
